name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
94017,2021-02-16,55.2,48.9,51.6,55.2,44.1,50.8,45.6,79.9,0,0,0,,0,0,31.1,23.7,323.5,1021.1,58.7,6.4,140.5,12.2,6,,2021-02-16T06:56:48,2021-02-16T17:50:29,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-17,59.4,39.9,49.5,59.4,39.9,49.1,39.6,71.6,0,0,0,,0,0,24.2,16.1,245.4,1022.8,28.9,8.2,202.5,17.4,7,,2021-02-17T06:55:36,2021-02-17T17:51:32,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-18,57.5,38.4,49.3,57.5,35.6,48.9,39.4,69.4,0,0,0,,0,0,,6.9,180.7,1026.7,54.1,8.5,182.4,15.6,7,,2021-02-18T06:54:23,2021-02-18T17:52:35,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-19,55.2,49.6,52.5,55.2,48.7,52.4,47.5,83.8,0.08,100,16.67,rain,0,0,,10.9,198.4,1026.2,89,6.2,149.8,13.1,7,,2021-02-19T06:53:08,2021-02-19T17:53:38,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-20,55.6,48.9,51.8,55.6,42.2,50.6,44.6,76.6,0.04,100,4.17,rain,0,0,30.8,20.5,318.9,1027.5,50.8,6.9,162,14.1,7,,2021-02-20T06:51:53,2021-02-20T17:54:40,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72585093228,KHAF,KSFO,72064600228,72494523293,LAHC1,72494023234,PUGC1"
94017,2021-02-21,58.2,43.6,50.1,58.2,43.3,49.3,41.8,74.4,0,0,0,,0,0,,16.5,256.3,1030.1,28.2,7.4,209,18,7,,2021-02-21T06:50:37,2021-02-21T17:55:42,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-22,66.6,43.2,55,66.6,41.5,54.6,40.9,61.4,0,0,0,,0,0,26.4,15.4,200.4,1025.1,8.5,8.6,211.1,18.1,7,,2021-02-22T06:49:20,2021-02-22T17:56:43,0.38,Clear,Clear conditions throughout the day.,clear-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-23,67.6,45.8,55.9,67.6,44.6,55.5,43.2,65.1,0,0,0,,0,0,27.7,22,283.5,1020.2,27.6,6.8,214.8,18.5,8,,2021-02-23T06:48:02,2021-02-23T17:57:44,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-24,60.9,47.4,54,60.9,43.6,52.9,40.9,64.3,0,0,0,,0,0,25.3,16.5,275.7,1021.9,15.8,6.3,226.9,19.6,8,,2021-02-24T06:46:43,2021-02-24T17:58:45,0.45,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-25,60.1,44.8,55.1,60.1,41.5,54.8,32,46.1,0,0,0,,0,0,32.2,16.8,169.3,1024.1,18.1,8.1,220.8,18.9,8,,2021-02-25T06:45:23,2021-02-25T17:59:46,0.48,Clear,Clear conditions throughout the day.,clear-day,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
